Auction time expired...,Auction time expired...
You can not bid less than or equal to current bid price.,You can not bid less than or equal to current bid price.
Your bid amount successfully saved.,Your bid amount successfully saved.
You can not auto bid less than or equal to current bid price.,You can not auto bid less than or equal to current bid price.
You are not allowed to auto bid again.,You are not allowed to auto bid again.
Your auto bid amount successfully saved,Your auto bid amount successfully saved
Winner,Winner
Pending,Pending
Complete,Complete
Auction Details,Auction Details
Bidding Details,Bidding Details
Bidding has been done for this product.,Bidding has been done for this product.
Set Incremental Price Range,Set Incremental Price Range
Re Auction,Re Auction
Add Auction,Add Auction
Buy it now,Buy it now
View Detail,View Detail
Add New Auction,Add New Auction
Edit Auction,Edit Auction
Product Name,Product Name
Starting Price,Starting Price
Reserve Price,Reserve Price
Start Auction Time,Start Auction Time
Stop Auction Time,Stop Auction Time
Number of Days Till Winner Can Buy,Number of Days Till Winner Can Buy
Minimum Quantity,Minimum Quantity
Maximum Quantity,Maximum Quantity
Increment Option,Increment Option
Automatic Option,Automatic Option
Auction Information,Auction Information
Auction Product,Auction Product
Bid List,Bid List
Auto Bid List,Auto Bid List
Auto Bidding List,Auto Bidding List
Auction auto bid removed successfuly.,Auction auto bid removed successfuly.
Not permitted.,Not permitted.
Auction bid removed successfuly.,Auction bid removed successfuly.
Auction Detail Page,Auction Detail Page
Product no longer exist.,Product no longer exist.
Auction Product List,Auction Product List
Auction product has been successfully saved.,Auction product has been successfully saved.
Incremental price saved successfully,Incremental price saved successfully
Invalid data,Invalid data
Increment,Increment
Minimum Qty:,Minimum Qty:
Maximum Qty:,Maximum Qty:
Current Bid :,Current Bid :
Time Remaining -,Time Remaining -
Place Bid as Automatic,Place Bid as Automatic
Place Bid,Place Bid
Bidding,Bidding
you already bought this product,you already bought this product
Auctions Bid,Auctions Bid
Product Name,Product Name
Bidding Price,Bidding Price
Winning Price,Winning Price
Bid Status,Bid Status
Winning Status,Winning Status
Actions,Actions
You have no auto bid records.,You have no auto bid records.
Bidder Name,Bidder Name
Bid Amount,Bid Amount
Time Stamp,Time Stamp
Bid Type,Bid Type
You have no auto bid records,You have no auto bid records
Hide Auto Bid,Hide Auto Bid
Show Auto Bid,Show Auto Bid
Winning Status,Winning Status
Bidding Price,Bidding Price
Bid Status,Bid Status
You have no bid records.,You have no bid records.
Bid On : ,Bid On : 
Total Bids : ,Total Bids : 
Start Time,Start Time
Stop Time,Stop Time
Auction Rule,Auction Rule
Bid Amount,Bid Amount
no image,no image
Auction Time End,Auction Time End
Process,Process
Winner not defined,Winner not defined
canceled by owner,canceled by owner
Complete,Complete
Auction Not Allowed.,Auction Not Allowed.
Time remaining to buy,Time remaining to buy
You can not add another product with auction Product.,You can not add another product with auction Product.
you can add your Increment bid rule otherwise admin Increment bid rule will apply,you can add your Increment bid rule otherwise admin Increment bid rule will apply
Yes,Yes
No,No
Winning Amount,Winning Amount
Winner Status,Winner Status
Winner notify email template,Winner notify email template
Use Incremental Price,Use Incremental Price
to,to
Submit,Submit
Stop Auction Time ,Stop Auction Time 
Stop :,Stop :
Starting Price :,Starting Price :
Start Auction Time ,Start Auction Time 
Start :,Start :
